name,s_no,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,total_per_m,death_per_m,tests,tests_per_m,population
Martinique,159,236.0,,14.0,,98.0,,124.0,,629.0,37.0,,,375273.0
Comoros,160,210.0,,5.0,,129.0,,76.0,,242.0,6.0,,,868892.0
Mongolia,161,204.0,,,,139.0,7.0,65.0,8.0,62.0,,19650.0,5997.0,3276415.0
Syria,162,198.0,11.0,7.0,,83.0,5.0,108.0,,11.0,0.4,,,17483684.0
Cayman Islands,163,195.0,,1.0,,143.0,,51.0,,2968.0,15.0,20370.0,310065.0,65696.0
Faeroe Islands,164,187.0,,,,187.0,,0.0,,3827.0,,11816.0,241844.0,48858.0
Guyana,165,183.0,,12.0,,102.0,,69.0,1.0,233.0,15.0,2048.0,2604.0,786439.0
Gibraltar,166,176.0,,,,176.0,,0.0,,5224.0,,10734.0,318601.0,33691.0
Guadeloupe,167,174.0,,14.0,,157.0,,3.0,,435.0,35.0,6900.0,17245.0,400122.0
Angola,168,172.0,,8.0,,66.0,,98.0,1.0,5.0,0.2,10000.0,305.0,32821590.0
Bermuda,169,146.0,2.0,9.0,,132.0,4.0,5.0,2.0,2344.0,144.0,9747.0,156493.0,62284.0
Eritrea,170,142.0,,,,39.0,,103.0,,40.0,,,,3544736.0
Brunei,171,141.0,,3.0,,138.0,,0.0,1.0,322.0,7.0,26195.0,59896.0,437345.0
Cambodia,172,129.0,,,,126.0,,3.0,1.0,8.0,,29915.0,1790.0,16711023.0
Trinidad and Tobago,173,123.0,,8.0,,109.0,,6.0,,88.0,6.0,4274.0,3054.0,1399357.0
Bahamas,174,104.0,,11.0,,74.0,,19.0,1.0,265.0,28.0,2326.0,5917.0,393123.0
Burundi,175,104.0,,1.0,,75.0,,28.0,,9.0,0.08,382.0,32.0,11875569.0
Aruba,176,101.0,,3.0,,98.0,,0.0,,946.0,28.0,2249.0,21067.0,106753.0
Monaco,177,99.0,,4.0,,94.0,,1.0,,2523.0,102.0,16200.0,412918.0,39233.0
Barbados,178,97.0,,7.0,,85.0,,5.0,1.0,338.0,24.0,7345.0,25560.0,287365.0
Botswana,179,89.0,,1.0,,25.0,,63.0,1.0,38.0,0.4,33176.0,14118.0,2349837.0
Liechtenstein,180,82.0,,1.0,,55.0,,26.0,,2151.0,26.0,900.0,23607.0,38125.0
Sint Maarten,181,77.0,,15.0,,62.0,,0.0,,1797.0,350.0,477.0,11129.0,42860.0
Bhutan,182,68.0,1.0,,,28.0,3.0,40.0,,88.0,,22627.0,29335.0,771329.0
French Polynesia,183,60.0,,,,60.0,,0.0,,214.0,,4578.0,16300.0,280859.0
Namibia,184,46.0,1.0,,,19.0,,27.0,1.0,18.0,,6837.0,2693.0,2539221.0
Macao,185,45.0,,,,45.0,,0.0,,69.0,,,,649032.0
Saint Martin,186,42.0,,3.0,,36.0,,3.0,1.0,1087.0,78.0,685.0,17727.0,38642.0
Gambia,187,36.0,,1.0,,24.0,,11.0,,15.0,0.4,1970.0,816.0,2413815.0
St. Vincent Grenadines,188,29.0,,,,26.0,,3.0,,261.0,,741.0,6680.0,110930.0
Antigua and Barbuda,189,26.0,,3.0,,22.0,,1.0,1.0,266.0,31.0,489.0,4995.0,97904.0
Timor-Leste,190,24.0,,,,24.0,,0.0,,18.0,,1568.0,1190.0,1317514.0
Grenada,192,23.0,,,,23.0,,0.0,,204.0,,4130.0,36709.0,112508.0
Curaçao,191,23.0,,1.0,,19.0,,3.0,,140.0,6.0,1080.0,6582.0,164073.0
Belize,193,22.0,,2.0,,17.0,,3.0,,55.0,5.0,1957.0,4925.0,397364.0
New Caledonia,194,21.0,,,,21.0,,0.0,,74.0,,7788.0,27287.0,285410.0
Laos,195,19.0,,,,19.0,,0.0,,3.0,,12222.0,1681.0,7271899.0
Saint Lucia,196,19.0,,,,18.0,,1.0,,103.0,,1356.0,7386.0,183602.0
Dominica,197,18.0,,,,18.0,,0.0,,250.0,,623.0,8655.0,71981.0
Fiji,198,18.0,,,,18.0,,0.0,,20.0,,2431.0,2712.0,896244.0
Saint Kitts and Nevis,199,15.0,,,,15.0,,0.0,,282.0,,417.0,7840.0,53187.0
Falkland Islands,200,13.0,,,,13.0,,0.0,,3740.0,,981.0,282221.0,3476.0
Greenland,201,13.0,,,,13.0,,0.0,,229.0,,2807.0,49448.0,56767.0
Turks and Caicos,202,12.0,,1.0,,11.0,,0.0,,310.0,26.0,366.0,9458.0,38699.0
Vatican City,203,12.0,,,,12.0,,0.0,,14981.0,,,,801.0
Seychelles,205,11.0,,,,11.0,,0.0,,112.0,,,,98329.0
Montserrat,204,11.0,,1.0,,10.0,,0.0,,2204.0,200.0,61.0,12220.0,4992.0
MS Zaandam,206,9.0,,2.0,,,,7.0,,,,,,
Western Sahara,207,9.0,,1.0,,8.0,,0.0,,15.0,2.0,,,596750.0
British Virgin Islands,208,8.0,,1.0,,7.0,,0.0,,265.0,33.0,212.0,7014.0,30225.0
Papua New Guinea,209,8.0,,,,8.0,,0.0,,0.9,,5281.0,591.0,8940748.0
Caribbean Netherlands,210,7.0,,,,7.0,,0.0,,267.0,,424.0,16174.0,26215.0
St. Barth,211,6.0,,,,6.0,,0.0,,608.0,,152.0,15391.0,9876.0
Lesotho,212,4.0,,,,2.0,,2.0,,2.0,,1515.0,707.0,2141718.0
Anguilla,213,3.0,,,,3.0,,0.0,,200.0,,93.0,6200.0,14999.0
Saint Pierre Miquelon,214,1.0,,,,1.0,,0.0,,173.0,,,,5795.0
