,Name,Date,Configuration,Verified,Rating,Heading,Review
57,Ravikumar Behara,2020-06-16,Fire TV Stick,True,5.0,Need a replacement of Amazon firestick,My Amazon fire stick is not working. Need a replacement as received damaged piece.
58,bhaumin l.,2020-06-16,Fire TV Stick,True,1.0,Bad product,"My fire tv stick is in warranty period, I want to change it. Its remote is sucks, specially upper part of the remote is not working. I have to reconnect it daily. I am fade up of the issue."
59,rahul,2020-06-16,Fire TV Stick,True,1.0,Defected product,The volume buttons and on off button of the remote is not working
60,MAHABIR P SHARMA,2020-06-16,Fire TV Stick,True,5.0,such product is good.,nice product. I am enjoying it.
61,RDS,2020-06-16,Fire TV Stick,True,4.0,Subscription,"The product is very good and easy to use.
If you have all subscription like sonyliv, hotstar, prime, zee5, voot, etc there would be no need of cable in your house"
62,Shabana,2020-06-15,Fire TV Stick,True,5.0,THANK YOU AMAZON,"Thank you Amazon really thank you once again
I need this item n my wish fulfilled by Amazon"
63,Karthick,2020-06-15,Fire TV Stick,True,5.0,Nice product,Really very nice product.operating also very easy.worth for money
64,Ramesh Kumar,2020-06-15,Fire TV Stick,True,5.0,Worth 5*****,Voice Recognition and Alexa Integration is not user friendly.
65,Sumit,2020-06-15,Fire TV Stick,True,1.0,Quality,"Today I received new amazon fire stick, after un boxing the product I tried to install the same with my Led but the fire stick is not searching the remote.... Almost after one hour spending I found that both the battery are not working. This product is amazon own brand product and but both the received battery is not working...... Extremely disappointed 😥"
66,Suman Ghosh,2020-06-15,Fire TV Stick,True,5.0,Smart firestick,Such a great product ....
67,pramod Kumar,2020-06-15,Fire TV Stick,True,1.0,Not working in my TV,"Not working properly in my sony bravia tv... it is stuck, showing-Unsupported singnal..
Pls help"
68,Anil Gupta,2020-06-15,Fire TV Stick,True,5.0,Great product,Great product
69,Anand Prakash Arya,2020-06-15,Fire TV Stick,True,1.0,Not working,Not working
70,atanu mayra,2020-06-15,Fire TV Stick,True,4.0,Good,Everything is fine but it is little slow and tv remote control is pathetic.
71,shaik imran Ahmed,2020-06-15,Fire TV Stick,True,5.0,Good,Good
72,Harsh,2020-06-15,Fire TV Stick,True,5.0,Excellent.,Great product
73,Amazon Customer,2020-06-15,Fire TV Stick,True,1.0,Take back product and refund the money.,Product which deliver to me is 1 year old manufacturered. It is also defective pieces neither remote is working nor fire TV stick. It is very bad experience with Amazon due to this product but I still hope that Amazon will take back this product from me and refund the money in my account.
74,Kokila,2020-06-15,Fire TV Stick,True,1.0,Replacement of firetvstik,Not received the replacement for the defective device
75,Prashant,2020-06-15,Fire TV Stick,True,5.0,Must buy,Best in the market
76,Vamshi,2020-06-15,Fire TV Stick,True,5.0,Good product,Good product at the price.good streaming quality
77,gaurav gupta,2020-06-15,Fire TV Stick,True,1.0,Firestick not working,Fire stick button not working.....unable to contact amazon.
78,Jeevan Tiwari,2020-06-15,Fire TV Stick,True,5.0,Excellent,Very good
79,Suresh Pandey,2020-06-15,Fire TV Stick,True,5.0,Noiice,"Brilliant product , works smooth"
80,punit s.,2020-06-15,Fire TV Stick,True,5.0,"On time delivery, and excellent product","On time delivery, and excellent product"
81,Bikramjit Singh Randhawa,2020-06-15,Fire TV Stick,True,5.0,Pencil cell,Pencil cell is not working battery is low
82,NARENDRA,2020-06-15,Fire TV Stick,True,1.0,Stick power and volume button not working 😡,Stick power and volume button not working 😡
83,Bhupendra soni,2020-06-15,Fire TV Stick,True,5.0,Good service,Good
84,Rajiv Mota,2020-06-15,Fire TV Stick,True,3.0,Pathetic Battery life for Remote,"As such the fire stick is very useful product and works absolutely fine and worth every bit. However, just after 6 months of use, we started facing issues with the Battery life of the Remote. The initial pair of battery got discharged in 6 months and we subsequently used a few pairs of new batteries. But we realized that the battery just gets drained in 1 /2 days max. We thought initially it would be a problem with the batteries but it is with remote. we have already got atleast 5-6 pairs discharged in 1/2 days due to the remote."
85,Romit Bose,2020-06-15,Fire TV Stick,True,5.0,Absolutely delightful!,"Superb product.
Stream quality: very satisfactory but depends on your wi fi strength
Voice recognition: works for most part
Alexa integration: that's a plus because the more smart devices you go on connecting to your home ecosystem, the more thonkgs you can control with your Amazon fire remote."
86,Apurva,2020-06-15,Fire TV Stick,True,2.0,If your tv is older than 2015,I ordered for the stick.. I installed it but other than the up down left an right button none of the buttons were working on the remote.. even the sound bar wasn't connecting.. when I called the customer service they asked me to follow a their step.. ( to factory reset and start all over again) but it still wasn't working.. after spending almost 45mins to make it work they say that your tv is old so the software isn't compatible.. so incase your tv is older than 2015 make sure to confirm with the customer care before ordering for it.. I had to return the device and get a refund. It was very disappointing.. please specify that the device is compatible to TV's post 2015
87,Sanket Srivastava,2020-06-15,Fire TV Stick,True,2.0,Netflix App error,The product worked fine till the time the warranty window was valid. Within a month of the warranty expiring the Netflix app stopped working. My Netflix account is working fine on other smart tv but not working on this fire stick. Now do t know what to do.
88,Kindle Customer,2020-06-14,Fire TV Stick,True,1.0,Remote control not working properly,"I got a faulty remote controller it seems. The volume and mute buttons don’t work. Please help with an exchange of the remote, ASAP"
89,Amazon Customer,2020-06-14,Fire TV Stick,True,5.0,Amazon fire stick,Really worthy one to have for t price .
90,Renu,2020-06-14,Fire TV Stick,True,2.0,Connectivity issue and service factors to be considered,The connectivity issue and the remote isn't working. It's not connecting anymore to my TV and displaying the apps. I'm using this product since a year and I have encountered such issues numerous times but simple on and off many times worked. Now it isn't working anymore. Requesting for replacing the product or repairing the same.
91,Ved Prakash Upadhyay,2020-06-14,Fire TV Stick,True,1.0,Very bad experience,Very bad product by amazon at the time of purchase faulty product deliver and after replace provide new stick of 10 months software issues starting and account not login at device
92,lohi,2020-06-14,Fire TV Stick,True,5.0,Guaranteed and kind customer service,"Fire stick is not working, and we watched only 3 movies.  But customer service team agreed to get me a new firestick.  It shows the customer satisfaction is the main agenda of Amazon.
Thank you Amazon for the lovely service"
93,avi,2020-06-14,Fire TV Stick,True,3.0,Showing me usa cart instead of india,"When i am trying to ask ""what are your deals"" I am getting us product instead of indian product. I already set my location and language.
Also indianpin code is not accepting in setup"
94,kunal,2020-06-14,Fire TV Stick,True,1.0,Compatibility issues,It’s not working .. tv doesn’t execute it .. and unable to contact customer care
95,Amazon Customer,2020-06-14,Fire TV Stick,True,3.0,Alexa Not working !!,"Alex stopped working, not taking any commands, tried troubleshooting but not able find anything to fix this. Please help."
96,Paule,2020-06-14,Fire TV Stick,True,5.0,Worth money,A good quality products from Amazon. U can now convert ur standard tv to a smart tv. Easy to install and easy to use
97,Amzon Prime Customer SR,2020-06-14,Fire TV Stick,True,5.0,Very Nice,"It helped both me and my baby to avoid small screen like phone and helped to protect eyes.
Till not using alexa feature. Yet to set woofer with it."
98,Pemmaiah,2020-06-14,Fire TV Stick,True,5.0,very good product,very good product.
99,PRATAP KUMAR SARDA,2020-06-14,Fire TV Stick,True,1.0,On stick picture is not seen only voice Alexa not working,It is not working no picture is coming only sound is coming Alexa is also not working
100,Amazon Customer,2020-06-14,Fire TV Stick,True,1.0,After complete 1year nt working,After complete 1 years it was nt working
101,nijeesh,2020-06-14,Fire TV Stick,True,5.0,Super,Nice...
102,Amazon Customer,2020-06-14,Fire TV Stick,True,4.0,Amazing,I am only deducting the 1 start cause they delivered with almost a year before manufactured device. Which was having the almost dead batteries in it. Rest it the experience is amazing.
103,Madhuri malik,2020-06-14,Fire TV Stick,True,5.0,Best product,After so many suggestion and words of people. I decided to buy this and this product is amazing for who dont have smart tv.
104,John,2020-06-14,Fire TV Stick,True,1.0,5-10 days the remote stopped working.,5-10 days the remote stopped working. Faulty product
105,Arun,2020-06-14,Fire TV Stick,True,1.0,Remote not working,There is no customer care for remote not working
106,C  b shete,2020-06-14,Fire TV Stick,True,5.0,Tech support,Not able to fix d stick purchased today
107,NN,2020-06-14,Fire TV Stick,True,5.0,Easy to operate,Very easy to operate
108,Abhinav Mittal,2020-06-14,Fire TV Stick,True,2.0,Need replacement of the remote,"The remote has given a lot of trouble. Once earlier i followed instructions from your site to reconfigure the remote, and it started functioning again.
Now i try to reconfigure the remote through the fire tv stick application but it still does not work. It was bought in July 2019. I've been facing this problem since March this year. The phone line you give has been non accessible because of the lock-down."
109,lakhyajyoti borah,2020-06-14,Fire TV Stick,True,3.0,Remote not working,The firestickremote is not working please resolve it
110,Yash,2020-06-14,Fire TV Stick,True,5.0,Amazing!!,"Streaming quality is good.works fine with 10mbps or even 5mbps!
Loved this product🙂"
111,Shakir Shaikh,2020-06-14,Fire TV Stick,False,4.0,Stoped working,My fire stick stop working. Where should i call? Any services.
112,SamK,2020-06-14,Fire TV Stick,True,2.0,Not so good,"The streaming is pathetic. Though my other devices connect well and play well, fire stick often times say network issue and I had to restart. Or keep showing blurred streaming. Not satisfied"
113,Edward Paul,2020-06-14,Fire TV Stick,True,1.0,The remote has stopped working - how do i claim warranty,The remote has stopped working - how do i claim warranty
114,SUDHIR,2020-06-14,Fire TV Stick,True,5.0,Everyone should buy it,Nice product
115,chetan sharma,2020-06-14,Fire TV Stick,True,4.0,Worst service from amazon,I purchased the same on 15 july 2019 now after almost 1 year its not working. I want to replace it as it is in warranty but i am unable to contact amazon. And there is no response from amazon.
116,AMIT GANGULY,2020-06-14,Fire TV Stick,True,5.0,Excellent Product,Excellent product. Quick response of remote. Works well with good connectivity wireless dongle and there is hardly any lag.
